Date,AHT,ALT,ARH,WS,RAINFALL
1-10-1984,33.7,23,,1.6,0
2-10-1984,34.4,23.3,,1.2,0
3-10-1984,34.1,24.6,,1.37,0
4-10-1984,34,23.3,,1.2,0
5-10-1984,34.1,22.9,,1.1,0
6-10-1984,33.4,22.7,,0.43,0
7-10-1984,33,22.1,,1.63,0
8-10-1984,30.7,21.9,,1.1,21.8
9-10-1984,32,23.3,,0.93,0.4
10-10-1984,34.1,22.8,,2.37,0
11-10-1984,25,24.4,,0.27,0
12-10-1984,33.4,24.7,,0.53,0
13-10-1984,31,24.1,,2.47,0
14-10-1984,32.3,23.3,,0.0,12.6
15-10-1984,34,23.5,,0.33,0
16-10-1984,33.8,24.3,,0.0,14.2
17-10-1984,30.3,23.6,,0.0,0.3
18-10-1984,32.5,23.8,,0.67,1.4
19-10-1984,31.9,23.1,,1.67,5
20-10-1984,33.3,24.1,,1.67,0
21-10-1984,33.4,23.3,,1.33,0
22-10-1984,33,24.9,,1.93,0
23-10-1984,34.4,24.3,,2.37,0
24-10-1984,34.3,24.1,,1.2,0
25-10-1984,33.7,25.1,,1.53,0
26-10-1984,28.6,23.3,,0.43,17.7
27-10-1984,33.2,24.4,,0.0,5
28-10-1984,25.9,22.2,,0.4,27.2
29-10-1984,28.6,21.6,,1.0,17.6
30-10-1984,32.8,22.3,,1.83,0
31-10-1984,31,23.8,,1.1,0
1-10-1985,31.6,31.1,,0.0,7.8
2-10-1985,32.9,23.4,,1.1,0
3-10-1985,33,23.5,,1.43,0.9
4-10-1985,34.5,24.4,,1.37,0
5-10-1985,35.1,22.9,,1.2,0
6-10-1985,33.8,23.3,,0.77,0
7-10-1985,33.6,23.9,,1.4,0.6
8-10-1985,34.2,23.9,,1.7,0
9-10-1985,35,25.9,,2.3,0
10-10-1985,34,25.9,,1.77,0
11-10-1985,33.4,24.5,,1.87,0
12-10-1985,31.7,23.9,,1.73,0
13-10-1985,33.6,22.9,,1.77,0
14-10-1985,33.2,22.3,,0.77,0
15-10-1985,35.6,23.7,,1.6,0
16-10-1985,35,25.7,,2.43,0
17-10-1985,28,22.7,,1.53,26
18-10-1985,32.2,23.3,,0.77,0
19-10-1985,32.3,22.9,,2.33,5
20-10-1985,31.5,22.9,,1.77,41
21-10-1985,31.6,24.1,,1.3,2.2
22-10-1985,32.8,24.3,,2.07,19.9
23-10-1985,33.5,25.3,,2.2,0
24-10-1985,33.2,24.3,,1.3,0
25-10-1985,33.4,23.3,,1.87,0
26-10-1985,32.7,24.6,,1.8,0
27-10-1985,33.5,25.3,,1.07,0
28-10-1985,32.5,24.5,,2.6,0
29-10-1985,27.1,21.1,,3.2,0
30-10-1985,29.5,22.1,,1.47,58.3
31-10-1985,33.6,23.1,,1.97,0
1-10-1986,30.9,23,,0.83,13
2-10-1986,30.8,23.4,,2.17,0
3-10-1986,32.2,23,,3.43,4.6
4-10-1986,30.4,22.6,,0.53,36
5-10-1986,33,24,,1.3,0
6-10-1986,34.4,23.6,,1.0,0
7-10-1986,34.8,24.5,,3.17,0
8-10-1986,32.2,24.5,,2.07,0
9-10-1986,28.5,24.9,,0.77,0
10-10-1986,33.3,22.9,,2.9,0
11-10-1986,31.7,25,,2.3,0.6
12-10-1986,26.2,23.3,,1.67,45.5
13-10-1986,30.5,23.5,,0.53,5.5
14-10-1986,30.1,24,,0.77,0
15-10-1986,31.2,23.4,,1.63,13.2
16-10-1986,32.2,23.3,,2.17,0
17-10-1986,34.4,23.5,,1.77,0
18-10-1986,34.4,25.3,,2.07,0
19-10-1986,29.6,23.9,,4.23,0
20-10-1986,31.8,22.5,,2.13,13.2
21-10-1986,32.8,23.5,,2.93,0
22-10-1986,31.2,21.9,,1.9,15.5
23-10-1986,27.5,22.5,,1.87,9.5
24-10-1986,29.4,22.6,,0.83,33.6
25-10-1986,30.2,23.5,,1.2,4.1
26-10-1986,32.8,23.3,,2.2,0
27-10-1986,31.3,23.3,,1.47,0
28-10-1986,29.8,23,,1.77,11.5
29-10-1986,32.3,23.4,,1.4,8.2
30-10-1986,33,23.9,,2.47,0
31-10-1986,33.5,24.6,,1.93,0.6
1-10-1987,35.2,24.4,,,0
2-10-1987,35,25.3,,,0
3-10-1987,34.4,24.3,,,4.7
4-10-1987,32.4,24.6,,,0
5-10-1987,32,25.6,,,3.2
6-10-1987,35.2,25.3,,,0
7-10-1987,34.2,25.9,,,0
8-10-1987,33.4,25.2,,,0
9-10-1987,29,22.5,,,16
10-10-1987,32.4,23,,,7.8
11-10-1987,35,24.3,,,0
12-10-1987,35.2,25.3,,,2
13-10-1987,33.4,25.7,,,3
14-10-1987,34.4,24.9,,,0
15-10-1987,34.6,25.5,,,0
16-10-1987,33,24.5,,,0
17-10-1987,33.6,24,,,0.2
18-10-1987,34.5,24,,,0
19-10-1987,35.4,25.4,,,0
20-10-1987,34.4,24.9,,,0
21-10-1987,35.5,25,,,0
22-10-1987,35.2,25.5,,,0
23-10-1987,33.4,23.4,,,0.2
24-10-1987,35.4,26.3,,,0
25-10-1987,34.8,24.6,,,0
26-10-1987,35.6,25,,,0
27-10-1987,35.4,25.2,,,0
28-10-1987,36.6,25.7,,,0
29-10-1987,32.1,24.3,,,2
30-10-1987,30.4,23.5,,,5
31-10-1987,34,22.4,,,2.2
1-10-1988,31.1,24.3,,0.0,4.4
2-10-1988,32.8,23.9,,0.0,0
3-10-1988,33.7,24.3,,1.77,0
4-10-1988,34.3,23.6,,0.67,0.8
5-10-1988,31,23.5,,1.1,3.4
6-10-1988,32.6,23.5,,1.63,0
7-10-1988,34,23,,1.1,0
8-10-1988,33.4,24.5,,0.83,0
9-10-1988,32.3,25.5,,0.0,0
10-10-1988,33.6,24.9,,0.43,2
11-10-1988,34.2,24.3,,0.83,0
12-10-1988,34.8,25,,0.0,0
13-10-1988,25.6,21.9,,0.0,32.4
14-10-1988,32.8,21.9,,0.83,28
15-10-1988,31.3,22,,0.0,0
16-10-1988,34.1,23.5,,1.93,0.5
17-10-1988,34.2,24.5,,0.53,0
18-10-1988,29.5,21.6,,0.0,18
19-10-1988,29.6,22.5,,0.53,0
20-10-1988,34,22.9,,2.2,0.4
21-10-1988,35,24.3,,1.93,0
22-10-1988,35,23.4,,1.07,0
23-10-1988,33.8,23.5,,0.53,0
24-10-1988,32.2,22.9,,0.0,0
25-10-1988,35,23.5,,0.0,6.8
26-10-1988,34.7,27.3,,1.1,1
27-10-1988,30.5,22,,2.73,11.6
28-10-1988,33,22.5,,1.1,2.2
29-10-1988,33.3,22.6,,0.0,0
30-10-1988,33.8,23.9,,1.1,0
31-10-1988,34.4,23.9,,0.0,0
1-10-1989,31.4,21.7,,0.67,5
2-10-1989,33.1,22.2,,1.67,0
3-10-1989,31.5,22.5,,1.0,0
4-10-1989,31.4,22.9,,2.0,22.7
5-10-1989,33.1,22.6,,1.67,0
6-10-1989,27.1,22.4,,2.33,17.4
7-10-1989,31.2,21.5,,0.67,0
8-10-1989,32.6,21.5,,0.33,66.2
