Date,AHT,ALT,ARH,WS,RAINFALL
23-2-1982,,,,2.3,
24-2-1982,,,,2.6,
25-2-1982,,,,3.4,
26-2-1982,,,,3.37,
27-2-1982,,,,2.8,
28-2-1982,33.4,23.9,83.5,3.27,0
1-2-1983,31.8,25.1,,2.8,9.1
2-2-1983,31.1,24.9,,0.67,9
3-2-1983,29.2,24.5,,1.1,12.6
4-2-1983,33.4,24.5,,1.53,0
5-2-1983,29.4,24.4,,2.47,18.4
6-2-1983,26.4,24.8,,0.33,0
7-2-1983,31.5,23.5,,2.07,36.4
8-2-1983,30.4,23.5,,0.0,6.2
9-2-1983,32.5,23.7,,2.03,0
10-2-1983,33.7,26.1,,2.27,0
11-2-1983,33.9,26.1,,2.13,0
12-2-1983,33.2,26.1,,1.7,1.7
13-2-1983,32.8,25.3,,2.07,0
14-2-1983,33.3,25.1,,1.17,0
15-2-1983,34.3,25.1,,2.5,0
16-2-1983,31.6,26.1,,2.47,0
17-2-1983,32.7,24.7,,0.77,6.4
18-2-1983,33.9,23.9,,1.33,1
19-2-1983,34,24.7,,1.4,1.7
20-2-1983,33.3,24.3,,1.2,0
21-2-1983,33,25.1,,1.97,5
22-2-1983,34.3,25.3,,2.13,0
23-2-1983,33.4,25.9,,1.6,0
24-2-1983,35.2,26.1,,2.67,0
25-2-1983,35,26.9,,2.27,0
26-2-1983,35.6,25.6,,2.9,0
27-2-1983,34.8,25.3,,2.6,0
28-2-1983,36.1,25.1,,1.3,0
1-2-1984,28.4,21.4,,5.0,13.4
2-2-1984,30.2,21.2,,1.03,6.8
3-2-1984,28.8,22.5,,1.37,0
4-2-1984,30.3,21.6,,0.0,37.8
5-2-1984,30,22.9,,0.37,9.8
6-2-1984,30,23.4,,1.3,2.6
7-2-1984,29.4,21.8,,0.0,27
8-2-1984,31.2,22.4,,1.27,20.7
9-2-1984,25.4,22.8,,1.13,4
10-2-1984,30.6,21.7,,2.87,12.8
11-2-1984,32.3,22.1,,0.0,0
12-2-1984,28.3,21.9,,0.7,1
13-2-1984,30,21.9,,2.73,10.9
14-2-1984,32.1,21.9,,2.63,0
15-2-1984,28.1,23.3,,2.57,0
16-2-1984,28.3,21.9,,2.63,41.3
17-2-1984,30.6,22,,2.47,11.3
18-2-1984,26.4,22.4,,1.5,0
19-2-1984,29,21.7,,1.1,9.6
20-2-1984,29.6,22.4,,1.03,3.2
21-2-1984,26,21.9,,1.53,4.9
22-2-1984,31.3,21.8,,1.7,15.3
23-2-1984,30.1,23.1,,2.1,1.7
24-2-1984,27.4,22.1,,1.53,15.8
25-2-1984,28.3,22.1,,2.33,2
26-2-1984,30.7,22.8,,1.3,22.5
27-2-1984,30.6,22.4,,2.77,41.8
28-2-1984,29.8,22.5,,0.77,15
1-2-1985,31.5,23.5,,0.97,0
2-2-1985,30,23.1,,2.8,0
3-2-1985,26.4,21.9,,0.77,44.4
4-2-1985,30.6,21.8,,1.87,4.3
5-2-1985,30.4,21.7,,2.6,12
6-2-1985,31.1,22.1,,0.87,2.7
7-2-1985,31.5,22.5,,1.8,0
8-2-1985,28.6,22.5,,0.0,31.9
9-2-1985,27.8,21.5,,0.0,6.4
10-2-1985,32,21.1,,0.0,34.4
11-2-1985,32.5,23.1,,1.17,0.8
12-2-1985,32.5,23.1,,0.87,0
13-2-1985,32.5,23.4,,2.03,10.4
14-2-1985,30.6,23.5,,1.1,6.6
15-2-1985,31.5,22.6,,1.03,12.2
16-2-1985,32.5,23,,1.53,7.4
17-2-1985,30.1,24.3,,1.0,0.6
18-2-1985,32.1,23.8,,1.1,6.6
19-2-1985,32,24.4,,2.13,0.4
20-2-1985,30,23.3,,1.5,1.4
21-2-1985,30.5,23.7,,0.7,10.8
22-2-1985,32.8,23.2,,0.87,9.9
23-2-1985,28.6,22.9,,0.77,44.8
24-2-1985,31.1,23.1,,0.77,22.6
25-2-1985,33.4,24,,1.77,24
26-2-1985,26.7,23.1,,1.87,10.4
27-2-1985,31.2,24,,2.4,2.7
28-2-1985,29.8,22,,0.53,10.4
1-2-1986,32.4,23.6,,2.43,0
2-2-1986,32.5,24,,1.6,0
3-2-1986,27.2,22.6,,0.0,90.1
4-2-1986,31.7,22.6,,0.77,3
5-2-1986,29.4,23,,1.6,10.2
6-2-1986,32.4,24.5,,1.87,0
7-2-1986,26.1,23.6,,0.77,0.5
8-2-1986,30.3,23,,1.37,33.1
9-2-1986,27.1,24.5,,0.0,4.2
10-2-1986,24.2,22.7,,0.77,15.4
11-2-1986,30.8,22.9,,0.77,53.2
12-2-1986,30,22,,0.0,0.5
13-2-1986,31.9,24,,0.87,0.2
14-2-1986,30.5,23.5,,0.83,0
15-2-1986,30.1,23.5,,1.53,3.5
16-2-1986,32.3,23.4,,1.53,7.8
17-2-1986,26.3,23.9,,0.0,0.3
18-2-1986,25.2,22,,1.3,18.3
19-2-1986,30.4,22.8,,1.4,12
20-2-1986,32,23,,1.77,0
21-2-1986,31,23.6,,1.83,0
22-2-1986,32.4,22,,1.63,2.1
23-2-1986,30.1,22.6,,0.0,21.6
24-2-1986,32.4,22.9,,0.77,0.3
25-2-1986,30.3,22.9,,1.67,0
26-2-1986,29.2,22.5,,0.0,1.2
27-2-1986,30.6,22.5,,0.67,16
28-2-1986,30.8,23.3,,2.73,1.4
1-2-1987,31.7,23,,,13.4
2-2-1987,32.8,23,,,7.3
