,Ano,Mês,Valor,Variável
440,1956.0,9.0,0.0232404285,rainfall
441,1956.0,10.0,0.0223036397,rainfall
442,1956.0,11.0,0.0160783746,rainfall
443,1956.0,12.0,0.0140701619,rainfall
444,1956.0,1.0,0.014611498,nino12
445,1956.0,2.0,0.0147556534,nino12
446,1956.0,3.0,0.0149531955,nino12
447,1956.0,4.0,0.0145894918,nino12
448,1956.0,5.0,0.0145165622,nino12
449,1956.0,6.0,0.0145912664,nino12
450,1956.0,7.0,0.0149702882,nino12
451,1956.0,8.0,0.0150585166,nino12
452,1956.0,9.0,0.0146847085,nino12
453,1956.0,10.0,0.0143561843,nino12
454,1956.0,11.0,0.0145293923,nino12
455,1956.0,12.0,0.014295702,nino12
456,1956.0,1.0,0.0147060566,nino3
457,1956.0,2.0,0.0149258027,nino3
458,1956.0,3.0,0.0149894012,nino3
459,1956.0,4.0,0.0148643791,nino3
460,1956.0,5.0,0.0150014279,nino3
461,1956.0,6.0,0.0149498236,nino3
462,1956.0,7.0,0.0148121046,nino3
463,1956.0,8.0,0.0147278432,nino3
464,1956.0,9.0,0.0147023012,nino3
465,1956.0,10.0,0.0146329305,nino3
466,1956.0,11.0,0.0145405677,nino3
467,1956.0,12.0,0.0145480362,nino3
468,1956.0,1.0,0.0146759746,nino34
469,1956.0,2.0,0.0148198582,nino34
470,1956.0,3.0,0.014834877,nino34
471,1956.0,4.0,0.0146950047,nino34
472,1956.0,5.0,0.0149121898,nino34
473,1956.0,6.0,0.0148701334,nino34
474,1956.0,7.0,0.0147766227,nino34
475,1956.0,8.0,0.0146652113,nino34
476,1956.0,9.0,0.0147513721,nino34
477,1956.0,10.0,0.0147003692,nino34
478,1956.0,11.0,0.0146613401,nino34
479,1956.0,12.0,0.0147562177,nino34
480,1956.0,1.0,0.0145433423,nino4
481,1956.0,2.0,0.0146076029,nino4
482,1956.0,3.0,0.0147156076,nino4
483,1956.0,4.0,0.0147642931,nino4
484,1956.0,5.0,0.0147596615,nino4
485,1956.0,6.0,0.0148249611,nino4
486,1956.0,7.0,0.0147827006,nino4
487,1956.0,8.0,0.0146204729,nino4
488,1956.0,9.0,0.0146143437,nino4
489,1956.0,10.0,0.0147501074,nino4
490,1956.0,11.0,0.0148735588,nino4
491,1956.0,12.0,0.0149739861,nino4
492,1956.0,1.0,-0.0253036437,tsa
493,1956.0,2.0,-0.0333978703,tsa
494,1956.0,3.0,-0.0258503401,tsa
495,1956.0,4.0,-0.0339377034,tsa
496,1956.0,5.0,-0.0195482189,tsa
497,1956.0,6.0,-0.0184946237,tsa
498,1956.0,7.0,-0.0130850528,tsa
499,1956.0,8.0,-0.0112759644,tsa
500,1956.0,9.0,-0.0121872996,tsa
501,1956.0,10.0,-0.0255072464,tsa
502,1956.0,11.0,-0.0241980867,tsa
503,1956.0,12.0,-0.0238095238,tsa
504,1957.0,1.0,0.0218389213,rainfall
505,1957.0,2.0,0.010576426,rainfall
506,1957.0,3.0,0.0125705563,rainfall
507,1957.0,4.0,0.0154405605,rainfall
508,1957.0,5.0,0.0047611841,rainfall
509,1957.0,6.0,0.0109521145,rainfall
510,1957.0,7.0,0.0013671095,rainfall
511,1957.0,8.0,0.0097472924,rainfall
512,1957.0,9.0,0.0037773699,rainfall
513,1957.0,10.0,0.0185596235,rainfall
514,1957.0,11.0,0.0080264199,rainfall
515,1957.0,12.0,0.0105897192,rainfall
516,1957.0,1.0,0.014145966,nino12
517,1957.0,2.0,0.0151655327,nino12
518,1957.0,3.0,0.0156861387,nino12
519,1957.0,4.0,0.0158648803,nino12
520,1957.0,5.0,0.0164654295,nino12
521,1957.0,6.0,0.0163599047,nino12
522,1957.0,7.0,0.0163848037,nino12
523,1957.0,8.0,0.0160513062,nino12
524,1957.0,9.0,0.0159776093,nino12
525,1957.0,10.0,0.0158070366,nino12
526,1957.0,11.0,0.0157583163,nino12
527,1957.0,12.0,0.0156074175,nino12
