,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
586,"(1, 6)",logistic,0.01,0.001,0.1,0.45589,0.0011006621959824782
587,"(5, 2)",tanh,0.0001,0.003,0.1,0.45612,0.0011012174884983833
588,"(5, 6)",tanh,0.01,0.003,0.0462,0.45655,0.001102255644071597
589,"(3,)",tanh,0.0001,0.003,0.1,0.45724,0.001103921521619312
590,"(4, 1)",logistic,0.01,0.003,0.0462,0.45734,0.0011041629531479667
591,"(6, 3)",logistic,0.01,0.001,0.1,0.45749,0.0011045251004409482
592,"(3, 3)",logistic,0.01,0.001,0.0462,0.45755,0.0011046699593581409
593,"(4, 2)",tanh,0.0001,0.001,0.1,0.45788,0.0011054666834027004
594,"(2, 3)",logistic,0.0001,0.001,0.1,0.4584,0.001106722127351703
595,"(7, 3)",logistic,0.0001,0.001,0.1,0.45877,0.0011076154240077243
596,"(1, 3)",tanh,0.01,0.003,0.1,0.45898,0.0011081224302178984
597,"(7, 2)",logistic,0.0001,0.003,0.1,0.4598,0.0011101021687528645
598,"(1, 4)",logistic,0.0001,0.001,0.0462,0.45992,0.0011103918865872496
599,"(1, 2)",logistic,0.0001,0.003,0.0462,0.46,0.0011105850318101733
600,"(1, 2)",logistic,0.0001,0.003,0.1,0.46022,0.001111116181173213
601,"(3, 5)",tanh,0.0001,0.003,0.1,0.46044,0.0011116473305362526
602,"(4, 4)",logistic,0.0001,0.001,0.0462,0.4609,0.0011127579155680626
603,"(5, 2)",logistic,0.01,0.001,0.1,0.46094,0.0011128544881795245
604,"(3, 3)",tanh,0.01,0.001,0.0462,0.46107,0.0011131683491667752
605,"(3, 7)",logistic,0.01,0.003,0.1,0.46153,0.0011142789341985853
606,"(2, 3)",tanh,0.01,0.003,0.0462,0.46153,0.0011142789341985853
607,"(4, 6)",tanh,0.01,0.001,0.0462,0.46205,0.0011155343781475882
608,"(1, 1)",logistic,0.0001,0.001,0.0462,0.46214,0.0011157516665233772
609,"(3, 1)",logistic,0.0001,0.003,0.0462,0.4624,0.0011163793884978784
610,"(5, 2)",tanh,0.01,0.001,0.1,0.46255,0.0011167415357908601
611,"(3, 2)",tanh,0.0001,0.001,0.0462,0.46267,0.0011170312536252455
612,"(4, 7)",tanh,0.0001,0.001,0.0462,0.46315,0.0011181901249627865
613,"(7, 3)",logistic,0.01,0.001,0.1,0.46336,0.0011186971311729606
614,"(3,)",tanh,0.0001,0.001,0.0462,0.46338,0.0011187454174786916
615,"(3, 2)",tanh,0.01,0.003,0.0462,0.46345,0.0011189144195487494
616,"(3, 4)",logistic,0.0001,0.003,0.0462,0.46388,0.0011199525751219635
617,"(4, 5)",tanh,0.0001,0.003,0.0462,0.46413,0.0011205561539435994
618,"(4, 1)",tanh,0.0001,0.001,0.1,0.4653,0.0011233809028288557
619,"(4, 5)",tanh,0.0001,0.001,0.0462,0.46551,0.0011238879090390299
620,"(4, 4)",tanh,0.01,0.003,0.1,0.46623,0.0011256262160453414
621,"(6, 2)",tanh,0.01,0.001,0.1,0.46648,0.0011262297948669774
622,"(2, 1)",logistic,0.0001,0.001,0.0462,0.46794,0.0011297546951853316
623,"(1, 2)",logistic,0.01,0.003,0.0462,0.46828,0.0011305755623827562
624,"(1, 6)",logistic,0.0001,0.003,0.1,0.46829,0.0011305997055356218
