,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
143,"(5, 7)",tanh,0.0001,0.003,0.2,80920.46517,281.87018
144,4,logistic,0.0001,0.001,0.2,80921.94061,283.98806
145,"(3, 9)",tanh,0.0001,0.001,0.2,80923.76386,282.14957
146,3,logistic,0.01,0.001,0.1,80932.62195,283.59153
147,"(5, 7)",logistic,0.0001,0.001,0.1,80948.63733,284.13364
148,"(5, 7)",logistic,0.0001,0.003,0.1,80962.67183,283.92311
149,"(3, 9)",tanh,0.0001,0.003,0.1,80992.15253,282.66663
150,9,logistic,0.01,0.001,0.2,81049.24753,284.08678
151,"(8, 4)",tanh,0.0001,0.001,0.2,81051.25874,281.49705
152,3,logistic,0.0001,0.001,0.2,81112.24832,284.30399
153,"(4, 8)",tanh,0.01,0.001,0.2,81129.96283,282.18633
154,"(9, 3)",tanh,0.01,0.001,0.1,81142.03335,280.96498
155,"(8, 4)",tanh,0.0001,0.003,0.1,81146.21712,281.69893
156,10,tanh,0.0001,0.001,0.2,81152.82311,279.37935
157,4,logistic,0.01,0.003,0.2,81153.54868,284.24193
158,5,tanh,0.01,0.001,0.2,81155.59158,280.12259
159,"(5, 7)",tanh,0.01,0.003,0.1,81161.59498,281.44082
160,8,tanh,0.0001,0.003,0.2,81188.36086,279.52601
161,"(6, 6)",logistic,0.0001,0.003,0.1,81219.56061,284.62993
162,10,logistic,0.0001,0.001,0.1,81298.76383,284.38923
163,11,tanh,0.0001,0.001,0.2,81299.49122,278.49427
164,10,logistic,0.0001,0.003,0.1,81301.0295,284.36048
165,3,tanh,0.01,0.003,0.2,81312.34162,280.10482
166,12,tanh,0.01,0.001,0.1,81323.26601,278.53529
167,12,logistic,0.01,0.001,0.2,81342.25204,284.6636
168,"(6, 6)",tanh,0.01,0.001,0.2,81349.50121,282.29524
169,9,logistic,0.01,0.003,0.1,81351.82091,284.57204
170,"(7, 5)",logistic,0.0001,0.003,0.2,81352.49764,284.69248
171,"(5, 7)",tanh,0.0001,0.001,0.2,81359.91505,282.54519
172,9,tanh,0.0001,0.003,0.2,81375.57748,279.77963
173,6,tanh,0.01,0.001,0.2,81395.85924,279.18454
174,"(7, 5)",tanh,0.0001,0.001,0.2,81426.90249,281.71999
175,8,logistic,0.0001,0.003,0.2,81485.15254,284.79561
176,"(9, 3)",logistic,0.0001,0.001,0.2,81505.83665,285.11689
177,8,logistic,0.0001,0.003,0.1,81515.81577,284.64196
178,"(9, 3)",tanh,0.01,0.001,0.2,81560.53786,282.57967
179,"(4, 8)",logistic,0.01,0.001,0.2,81658.9037,285.45131
180,5,tanh,0.01,0.003,0.1,81662.20893,280.00632
181,"(8, 4)",tanh,0.0001,0.003,0.2,81687.97672,282.40071
182,12,tanh,0.01,0.003,0.1,81689.84473,279.7981
183,7,logistic,0.01,0.003,0.1,81707.26482,285.10073
184,"(7, 5)",logistic,0.01,0.001,0.2,81712.17012,285.36935
185,5,tanh,0.0001,0.001,0.1,81725.3987,279.72511
186,5,logistic,0.0001,0.001,0.2,81732.05447,285.27129
187,"(5, 7)",tanh,0.0001,0.001,0.1,81736.93159,282.50069
188,5,tanh,0.0001,0.003,0.2,81809.8865,280.71379
189,"(4, 8)",tanh,0.0001,0.001,0.2,81854.03834,283.68169
190,11,tanh,0.0001,0.003,0.2,81858.43403,280.9208
191,"(9, 3)",tanh,0.0001,0.001,0.2,81906.5528,282.30822
192,9,tanh,0.01,0.003,0.2,82003.48107,280.63035
193,"(9, 3)",tanh,0.01,0.003,0.2,82027.98315,283.22585
194,3,logistic,0.0001,0.003,0.1,82044.67485,285.69489
195,8,tanh,0.01,0.003,0.2,82130.75093,281.49057
196,10,tanh,0.0001,0.003,0.2,82198.0437,281.08809
197,"(8, 4)",tanh,0.01,0.003,0.1,82208.43227,282.81298
198,"(4, 8)",tanh,0.0001,0.003,0.2,82213.51354,284.47107
199,10,logistic,0.01,0.003,0.1,82232.20895,285.90309
200,"(7, 5)",tanh,0.01,0.001,0.1,82260.9838,282.8623
201,3,tanh,0.01,0.001,0.2,82274.84164,281.61921
202,8,tanh,0.01,0.003,0.1,82280.27415,280.86117
203,8,tanh,0.01,0.001,0.1,82298.49784,279.83211
204,7,tanh,0.01,0.001,0.2,82303.70881,281.34265
205,"(5, 7)",tanh,0.01,0.001,0.2,82308.95317,284.1291
206,5,tanh,0.01,0.001,0.1,82315.65289,280.17419
207,5,tanh,0.0001,0.003,0.1,82329.6697,280.82257
208,"(8, 4)",tanh,0.01,0.001,0.2,82345.05637,283.20844
209,"(6, 6)",tanh,0.01,0.001,0.1,82377.32256,283.60858
210,11,tanh,0.01,0.001,0.1,82412.41632,280.70345
211,"(3, 9)",tanh,0.01,0.001,0.1,82415.71357,284.59443
