,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
398,"(1, 5)",tanh,0.01,0.001,0.0462,37.032,62.968
399,"(1, 5)",logistic,0.01,0.001,0.1,37.033,62.967
400,"(3, 4)",tanh,0.01,0.003,0.0462,37.034,62.966
401,"(1, 6)",logistic,0.01,0.001,0.0462,37.035,62.965
402,"(2, 6)",tanh,0.01,0.001,0.0462,37.038,62.962
403,"(2, 2)",logistic,0.01,0.003,0.1,37.038,62.962
404,"(4, 2)",logistic,0.01,0.001,0.1,37.038,62.962
405,"(1, 1)",tanh,0.01,0.003,0.0462,37.041,62.959
406,"(2, 1)",tanh,0.01,0.001,0.1,37.041,62.959
407,"(1, 1)",tanh,0.01,0.003,0.1,37.041,62.959
408,"(4, 1)",tanh,0.01,0.001,0.0462,37.042,62.958
409,"(1, 4)",logistic,0.0001,0.001,0.0462,37.045,62.955
410,"(5, 4)",logistic,0.01,0.003,0.0462,37.045,62.955
411,"(7, 1)",logistic,0.01,0.001,0.1,37.045,62.955
412,"(2, 2)",logistic,0.01,0.003,0.0462,37.047,62.953
413,"(1, 1)",logistic,0.01,0.001,0.1,37.049,62.951
414,"(5, 2)",logistic,0.01,0.001,0.0462,37.051,62.949
415,"(6, 6)",logistic,0.01,0.001,0.1,37.052,62.948
416,"(2, 1)",logistic,0.01,0.003,0.0462,37.052,62.948
417,"(2, 1)",logistic,0.01,0.001,0.1,37.055,62.945
418,"(3, 7)",logistic,0.01,0.003,0.1,37.055,62.945
419,"(5, 2)",logistic,0.01,0.003,0.1,37.056,62.944
420,"(1, 4)",logistic,0.01,0.001,0.0462,37.057,62.943
421,"(1, 3)",logistic,0.01,0.003,0.1,37.058,62.942
422,"(5, 1)",logistic,0.01,0.001,0.0462,37.059,62.941
423,"(3, 2)",tanh,0.01,0.003,0.1,37.061,62.939
424,"(4, 2)",logistic,0.01,0.003,0.0462,37.067,62.933
425,"(5, 3)",tanh,0.01,0.001,0.0462,37.068,62.932
426,"(2, 4)",logistic,0.01,0.001,0.1,37.071,62.929
427,"(2, 4)",tanh,0.01,0.003,0.1,37.071,62.929
428,"(4, 4)",logistic,0.0001,0.001,0.1,37.072,62.928
429,"(6, 1)",logistic,0.01,0.001,0.1,37.073,62.927
430,"(3, 3)",logistic,0.01,0.003,0.1,37.073,62.927
431,"(6, 6)",logistic,0.01,0.003,0.0462,37.074,62.926
432,"(3, 3)",logistic,0.01,0.001,0.0462,37.075,62.925
433,"(4, 1)",logistic,0.01,0.003,0.0462,37.075,62.925
434,"(4, 4)",logistic,0.01,0.001,0.1,37.078,62.922
435,"(2, 5)",tanh,0.01,0.001,0.1,37.083,62.917
436,"(1, 4)",logistic,0.01,0.003,0.1,37.083,62.917
437,"(4, 1)",tanh,0.01,0.001,0.1,37.084,62.916
438,"(2, 6)",logistic,0.01,0.001,0.0462,37.084,62.916
439,"(1, 5)",tanh,0.01,0.001,0.1,37.086,62.914
440,"(1, 7)",tanh,0.01,0.003,0.0462,37.087,62.913
441,"(7, 7)",logistic,0.01,0.003,0.0462,37.089,62.911
442,"(5, 1)",logistic,0.01,0.001,0.1,37.089,62.911
443,"(1, 5)",logistic,0.01,0.001,0.0462,37.092,62.908
444,"(5, 7)",logistic,0.01,0.001,0.1,37.093,62.907
445,"(3, 4)",logistic,0.01,0.001,0.0462,37.094,62.906
446,"(3, 3)",tanh,0.01,0.003,0.0462,37.095,62.905
447,"(2, 7)",tanh,0.01,0.003,0.1,37.097,62.903
448,"(3, 1)",logistic,0.01,0.003,0.1,37.099,62.901
449,"(7, 3)",tanh,0.01,0.001,0.0462,37.101,62.899
450,"(6, 1)",tanh,0.01,0.001,0.0462,37.105,62.895
451,"(6, 2)",logistic,0.0001,0.001,0.1,37.105,62.895
452,"(1, 6)",tanh,0.01,0.001,0.0462,37.108,62.892
453,"(4, 2)",tanh,0.01,0.003,0.1,37.11,62.89
454,"(3, 2)",tanh,0.0001,0.001,0.0462,37.111,62.889
455,"(1, 2)",logistic,0.01,0.003,0.0462,37.113,62.887
456,"(6, 3)",logistic,0.01,0.001,0.0462,37.116,62.884
457,"(6, 3)",tanh,0.01,0.003,0.1,37.117,62.883
458,"(5, 1)",tanh,0.01,0.001,0.0462,37.117,62.883
459,"(7, 1)",logistic,0.01,0.003,0.0462,37.119,62.881
460,"(5, 2)",logistic,0.01,0.003,0.0462,37.12,62.88
461,"(1, 4)",tanh,0.01,0.003,0.0462,37.121,62.879
462,"(1, 6)",tanh,0.01,0.003,0.1,37.121,62.879
463,"(7, 7)",logistic,0.01,0.001,0.0462,37.121,62.879
464,"(6, 3)",logistic,0.01,0.001,0.1,37.121,62.879
465,"(4, 3)",logistic,0.01,0.003,0.0462,37.123,62.877
466,"(2, 5)",logistic,0.01,0.001,0.1,37.126,62.874
467,"(3, 3)",tanh,0.01,0.001,0.1,37.128,62.872
468,"(5, 2)",tanh,0.0001,0.003,0.0462,37.128,62.872
469,"(7, 4)",tanh,0.01,0.001,0.0462,37.132,62.868
470,"(1, 6)",tanh,0.01,0.003,0.0462,37.138,62.862
471,"(6, 2)",tanh,0.0001,0.001,0.1,37.144,62.856
472,"(3, 5)",logistic,0.01,0.001,0.1,37.145,62.855
473,"(1, 4)",logistic,0.01,0.003,0.0462,37.146,62.854
474,"(3, 1)",tanh,0.01,0.001,0.0462,37.151,62.849
475,"(6, 1)",tanh,0.01,0.003,0.0462,37.153,62.847
476,"(1,)",tanh,0.01,0.001,0.0462,37.154,62.846
477,"(4, 7)",tanh,0.01,0.001,0.0462,37.172,62.828
