,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
813,"(2, 3)",tanh,0.0001,0.003,0.1,0.72197,0.0017118179384635155
814,"(5, 2)",tanh,0.0001,0.003,0.1,0.74485,0.0017660672762920197
815,"(5, 6)",logistic,0.0001,0.003,0.1,0.75218,0.001783446981112078
816,"(4,)",logistic,0.0001,0.003,0.0462,0.75861,0.0017986927521888825
817,"(1,)",logistic,0.0001,0.001,0.0462,0.76144,0.0018054027882926705
818,"(5, 6)",tanh,0.0001,0.001,0.0462,0.76223,0.001807275907911749
819,"(3, 7)",tanh,0.0001,0.001,0.0462,0.76293,0.0018089356341565023
820,"(5, 5)",tanh,0.01,0.003,0.0462,0.76907,0.0018234938043604802
821,"(6, 4)",logistic,0.01,0.003,0.1,0.77528,0.0018382179471889335
822,"(6, 7)",tanh,0.01,0.003,0.1,0.77648,0.0018410631921799388
823,"(3, 2)",logistic,0.01,0.001,0.0462,0.77661,0.0018413714270539645
824,"(1,)",tanh,0.01,0.001,0.0462,0.78595,0.0018635169172339571
825,"(5, 3)",logistic,0.0001,0.003,0.0462,0.78643,0.0018646550152303593
826,"(5, 4)",tanh,0.01,0.003,0.0462,0.80566,0.001910250066211222
827,"(5, 7)",logistic,0.01,0.003,0.1,0.80596,0.0019109613774589732
828,"(5, 3)",logistic,0.01,0.003,0.1,0.80776,0.0019152292449454815
829,"(5,)",tanh,0.01,0.003,0.0462,0.80996,0.0019204455274289915
830,"(6, 5)",tanh,0.01,0.001,0.0462,0.81145,0.0019239783732928233
831,"(6, 6)",tanh,0.01,0.003,0.0462,0.81505,0.0019325141082658398
832,"(7, 7)",logistic,0.0001,0.003,0.0462,0.81601,0.0019347903042586441
833,"(3,)",tanh,0.0001,0.001,0.0462,0.82031,0.0019449857654764136
834,"(5, 3)",logistic,0.0001,0.001,0.0462,0.82564,0.001957623395311463
835,"(3, 6)",tanh,0.0001,0.003,0.0462,0.82891,0.001965376687911953
836,"(6, 7)",tanh,0.01,0.003,0.0462,0.83554,0.001981096666487258
837,"(7, 2)",logistic,0.01,0.001,0.1,0.84916,0.00201339019713517
838,"(3, 2)",tanh,0.0001,0.001,0.0462,0.85115,0.0020181085617452543
839,"(6, 3)",tanh,0.01,0.003,0.1,0.85434,0.002025672171346344
840,"(6, 3)",logistic,0.01,0.001,0.1,0.85517,0.0020276401324651225
841,"(7, 3)",tanh,0.0001,0.003,0.1,0.85827,0.0020349903486918865
842,"(7, 6)",tanh,0.0001,0.001,0.1,0.86989,0.00206254180435479
843,"(4, 6)",tanh,0.01,0.001,0.1,0.89205,0.002115083995188691
844,"(7,)",tanh,0.0001,0.003,0.0462,0.89711,0.0021270814449007636
845,"(4,)",tanh,0.01,0.001,0.1,0.8988,0.0021310884982630967
846,"(3, 4)",logistic,0.01,0.003,0.1,0.90299,0.0021410231453566904
847,"(4, 4)",logistic,0.01,0.001,0.0462,0.90764,0.0021520484696968367
848,"(4, 3)",tanh,0.0001,0.003,0.1,0.9183,0.0021773237293669354
849,"(6, 4)",tanh,0.01,0.003,0.1,0.9293,0.0022034051417844855
850,"(6, 2)",tanh,0.0001,0.003,0.1,0.9419,0.0022332802141900427
851,"(1, 2)",logistic,0.0001,0.003,0.1,0.94273,0.0022352481753088217
852,"(1, 1)",logistic,0.01,0.001,0.1,0.94441,0.0022392315182962292
853,"(6, 1)",logistic,0.0001,0.003,0.1,0.94482,0.002240203643668156
854,"(6, 3)",tanh,0.01,0.001,0.0462,0.95308,0.0022597884133562438
855,"(6, 3)",logistic,0.01,0.003,0.1,0.95767,0.0022706714754468396
856,"(1, 5)",tanh,0.0001,0.003,0.0462,0.96345,0.002284376072153516
857,"(4, 2)",tanh,0.0001,0.003,0.0462,0.96617,0.0022908252941331282
858,"(4, 1)",logistic,0.01,0.001,0.0462,0.97583,0.0023137295163107225
859,"(5, 3)",tanh,0.0001,0.003,0.1,1.01132,0.0023978776369197093
860,"(5, 4)",tanh,0.0001,0.003,0.0462,1.03206,0.0024470529545142536
861,"(2, 2)",logistic,0.0001,0.001,0.0462,1.04488,0.0024774496551681624
862,"(2, 4)",tanh,0.0001,0.001,0.0462,1.05472,0.0025007806640944073
863,"(5, 7)",logistic,0.0001,0.003,0.1,1.07726,0.00255422384917546
864,"(4, 2)",logistic,0.0001,0.003,0.0462,1.07753,0.002554864029298436
865,"(1, 7)",tanh,0.0001,0.001,0.1,1.07897,0.0025582783232876425
866,"(1, 3)",tanh,0.0001,0.001,0.1,1.08021,0.002561218409778348
867,"(2, 6)",tanh,0.0001,0.003,0.0462,1.08233,0.002566245009262458
868,"(7, 4)",tanh,0.0001,0.001,0.0462,1.08916,0.002582439195336264
869,"(7, 4)",logistic,0.01,0.001,0.0462,1.1,0.0026081412417550136
870,"(6, 3)",logistic,0.0001,0.003,0.1,1.10337,0.0026161316381047538
871,"(2, 6)",tanh,0.0001,0.001,0.0462,1.10829,0.002627797142567876
872,"(4, 6)",tanh,0.01,0.001,0.0462,1.12919,0.002677351826161221
873,"(6,)",tanh,0.01,0.001,0.0462,1.13703,0.002695940760102457
874,"(4, 5)",logistic,0.0001,0.003,0.1,1.14515,0.002715193584541594
875,"(4, 2)",tanh,0.0001,0.001,0.0462,1.14533,0.002715620371290245
876,"(7, 4)",tanh,0.0001,0.001,0.1,1.14534,0.00271564408166517
877,"(5,)",tanh,0.0001,0.003,0.1,1.15942,0.002749028289559634
878,"(7, 6)",tanh,0.0001,0.001,0.0462,1.15983,0.0027500004149315607
879,"(2, 6)",logistic,0.01,0.001,0.1,1.17284,0.0027808476127090457
880,"(3, 4)",logistic,0.0001,0.001,0.0462,1.18085,0.0027998396230240067
881,"(7, 6)",logistic,0.01,0.001,0.0462,1.20242,0.0028509829017373304
882,"(4, 4)",logistic,0.01,0.003,0.0462,1.21378,0.002877917887652182
883,"(7, 7)",tanh,0.01,0.001,0.0462,1.22802,0.0029116814615454466
884,"(1, 4)",logistic,0.01,0.003,0.0462,1.23379,0.002925362347877198
885,"(2,)",tanh,0.0001,0.003,0.1,1.23798,0.0029352969949707924
886,"(1, 4)",tanh,0.0001,0.003,0.0462,1.24404,0.00294966548217537
887,"(1,)",tanh,0.0001,0.001,0.1,1.36509,0.0032366795706430464
888,"(4, 1)",logistic,0.0001,0.003,0.0462,1.41297,0.0033502048457841648
889,"(2, 2)",tanh,0.01,0.003,0.0462,1.42125,0.0033698370362221022
890,"(5, 1)",tanh,0.0001,0.001,0.0462,1.60107,0.003796196998124272
891,"(4, 1)",tanh,0.01,0.001,0.1,1.6512,0.003915057107623526
892,"(2, 5)",tanh,0.01,0.001,0.0462,1.66711,0.003952780314129273
893,"(4, 1)",tanh,0.01,0.001,0.0462,1.67583,0.003973455761063913
894,"(6, 3)",logistic,0.0001,0.003,0.0462,1.71396,0.004063863420653111
895,"(4,)",logistic,0.01,0.003,0.0462,1.90346,0.004513175025482725
896,"(1,)",tanh,0.0001,0.003,0.0462,1.91751,0.0045464881022524144
